id,protocol_name,src,sport,dst,dport,proto,push_flag_ratio,average_len,average_payload_len,pkt_count,flow_average_inter_arrival_time,kolmogorov,shannon,label
13,https,192.168.137.113,50836,112.34.111.114,443,6,1.0,164,124,6,0.0207,0.6997,5.5949,2
120,https,192.168.137.113,56372,222.35.78.49,443,6,0.294,1094,1054,51,0.47,0.9785,7.9864,1
226,https,192.168.137.113,46758,111.13.101.221,443,6,0.909,383,343,11,0.0043,0.9944,7.8909,0
157,https,192.168.137.113,60742,61.135.169.121,443,6,0.7859999999999999,575,535,14,0.008,0.9785,7.8998,0
92,https,192.168.137.113,34634,111.13.101.191,443,6,0.833,494,454,12,0.0621,0.9615,7.8129,2
141,https,192.168.137.113,59391,111.13.105.171,443,6,1.0,242,202,9,0.025,0.8775,7.1567,0
98,https,192.168.137.113,52570,222.35.78.49,443,6,0.6409999999999999,710,670,39,0.1433,0.9473,7.9392,0
226,https,192.168.137.113,51990,180.76.22.32,443,6,0.909,407,367,22,0.0099,0.8597,7.7082,2
314,https,192.168.137.113,36705,180.76.22.48,443,6,0.792,529,489,24,0.0178,0.9063,7.8559,2
114,https,192.168.137.113,54117,222.35.78.49,443,6,0.518,957,917,110,0.069,0.9886,7.9945,2
556,https,192.168.137.113,56098,111.206.70.184,443,6,0.778,552,512,9,0.0031,0.8241,7.5439,1
331,https,192.168.137.113,52429,218.206.90.28,443,6,1.0,529,477,5,0.0006,0.9526,7.6454,0
449,https,192.168.137.113,37160,112.34.111.114,443,6,0.8,478,438,15,0.0029,0.8342,7.5981,0
354,https,192.168.137.113,56107,223.99.245.172,443,6,0.778,631,591,9,0.0088,0.8255,7.5667,1
59,https,192.168.137.113,53789,111.6.172.48,443,6,0.013,1369,1329,693,0.7442,0.9991,7.9996,2
409,https,192.168.137.113,45430,223.99.245.172,443,6,0.8,625,585,10,0.0033,0.8607,7.6755,1
217,https,192.168.137.113,54783,61.135.169.125,443,6,0.733,747,707,30,0.1789,0.9498,7.9417,0
42,https,192.168.137.113,43211,222.35.78.32,443,6,0.75,615,575,8,0.0091,0.7648,7.3422,2
592,https,192.168.137.113,41442,111.13.101.73,443,6,1.0,333,293,19,0.7354,0.3141,7.4724,1
168,https,192.168.137.113,34671,111.13.101.191,443,6,0.778,577,537,18,0.0072,0.9759,7.9027,2
430,https,192.168.137.113,52126,222.35.78.49,443,6,0.75,615,575,8,0.0147,0.7646,7.3446,0
260,https,192.168.137.113,53725,111.6.172.48,443,6,0.011,1376,1336,2566,0.3682,0.9999,7.9998,2
349,https,192.168.137.113,39921,119.75.222.189,443,6,0.913,689,649,23,0.5077,0.4215,7.8613,0
