id,protocol_name,src,sport,dst,dport,proto,push_flag_ratio,average_len,average_payload_len,pkt_count,flow_average_inter_arrival_time,kolmogorov,shannon
0,https,192.168.137.113,46331,111.6.225.35,443,6,0.714,599,559,7,0.0196,0.8149,7.5061
1,https,192.168.137.113,43804,112.34.111.173,443,6,1.000,71,31,1,0.0,1.0,4.1155
2,https,192.168.137.113,44854,119.75.222.189,443,6,0.900,470,430,10,0.0062,0.9465,7.7169
3,https,192.168.137.113,57911,111.13.101.221,443,6,0.909,383,343,11,0.0044,0.9942,7.8872
4,https,192.168.137.113,58992,218.206.90.28,443,6,1.000,530,478,5,0.0008,0.9561,7.6713
5,https,192.168.137.113,38427,223.99.245.179,443,6,0.864,419,379,22,0.0224,0.861,7.745
6,https,192.168.137.113,36898,223.99.245.161,443,6,0.727,629,589,11,0.0512,0.8789,7.7466
7,https,192.168.137.113,39424,39.156.41.32,443,6,0.778,582,542,9,0.0033,0.8291,7.568
8,https,192.168.137.113,50912,112.34.111.114,443,6,0.786,610,570,28,0.0166,0.9309,7.8968
9,https,192.168.137.113,38773,111.13.101.221,443,6,0.846,526,486,13,0.0047,0.8286,7.5864
10,https,192.168.137.113,40514,180.76.76.112,443,6,0.867,462,422,15,0.2183,0.8821,7.7528
11,https,192.168.137.113,50832,112.34.111.114,443,6,0.786,562,522,28,0.0161,0.9242,7.8913
12,https,192.168.137.113,53007,119.75.222.188,443,6,1.000,71,31,1,0.0,1.0,4.0266
13,https,192.168.137.113,52705,221.179.183.213,443,6,1.000,229,177,5,0.0012,0.9741,7.4144
14,https,192.168.137.113,50652,218.206.90.28,443,6,1.000,529,477,5,0.0015,0.9547,7.657
15,https,192.168.137.113,34739,111.13.101.191,443,6,0.778,577,537,18,0.0364,0.9752,7.9013
16,https,192.168.137.113,37403,180.76.76.112,443,6,0.818,533,493,11,0.2745,0.8381,7.5923
17,https,192.168.137.113,34703,111.13.101.191,443,6,0.875,527,487,16,0.0987,0.97,7.8615
18,https,192.168.137.113,48750,180.76.22.33,443,6,0.446,961,921,56,0.1726,0.9798,7.9865
19,https,192.168.137.113,50836,112.34.111.114,443,6,1.000,164,124,6,0.0207,0.6997,5.5949
20,https,192.168.137.113,42587,111.13.101.221,443,6,0.900,312,272,10,0.0023,0.9941,7.831
21,https,192.168.137.113,36297,111.13.101.73,443,6,0.889,361,321,9,0.0022,0.9384,7.5906
22,https,192.168.137.113,51022,112.34.111.114,443,6,1.000,441,401,12,0.1184,0.9564,7.764
23,https,192.168.137.113,41524,119.75.222.189,443,6,1.000,803,763,19,0.5615,0.2546,7.8564
24,https,192.168.137.113,36344,111.13.101.221,443,6,0.917,356,316,12,0.0031,0.9939,7.874
25,https,192.168.137.113,38265,120.221.8.142,443,6,0.778,723,683,9,0.0026,0.8549,7.6571
26,https,192.168.137.113,34586,111.13.101.191,443,6,0.631,713,673,65,0.0238,0.974,7.9764
27,https,192.168.137.113,58467,117.185.16.107,443,6,0.867,381,341,15,0.0298,0.7813,7.4085
28,https,192.168.137.113,38586,60.217.248.28,443,6,0.414,949,909,29,0.0244,0.971,7.9729
29,https,192.168.137.113,58614,112.34.111.114,443,6,0.800,478,438,15,0.0031,0.8357,7.6195
30,https,192.168.137.113,58296,221.179.183.218,443,6,1.000,205,153,7,0.0012,0.8386,7.3926
31,https,192.168.137.113,34109,119.75.222.188,443,6,0.750,576,536,48,1.0879,0.9789,7.9559
32,https,192.168.137.113,38774,111.13.101.221,443,6,1.000,668,628,13,0.0834,0.9723,7.8783
33,https,192.168.137.113,43221,223.99.245.161,443,6,0.636,782,742,11,0.0042,0.9061,7.8295
34,https,192.168.137.113,54734,61.135.169.125,443,6,0.800,540,500,15,0.042,0.9775,7.8959
35,https,192.168.137.113,51017,112.34.111.114,443,6,1.000,348,308,9,0.0093,0.9326,7.548
36,https,192.168.137.113,46333,111.6.225.35,443,6,0.714,599,559,7,0.0195,0.8152,7.5017
37,https,192.168.137.113,40639,222.35.78.48,443,6,0.508,992,952,65,0.2241,0.9823,7.9898
38,https,192.168.137.113,45105,120.221.12.7,443,6,0.778,594,554,9,0.0034,0.8388,7.5969
39,https,192.168.137.113,54926,120.221.12.30,443,6,0.389,994,954,18,0.0157,0.9563,7.9481
40,https,192.168.137.113,53799,111.6.172.48,443,6,0.009,1375,1335,1620,1.66,0.9998,7.9998
41,https,192.168.137.113,40012,120.221.8.142,443,6,0.778,684,644,9,0.0036,0.8647,7.6897
42,https,192.168.137.113,47884,60.217.248.85,443,6,0.727,580,540,11,0.0502,0.8624,7.6791
43,https,192.168.137.113,40903,180.76.76.112,443,6,0.778,530,490,9,0.0087,0.8382,7.6055
44,https,192.168.137.113,48983,222.35.78.40,443,6,0.012,1372,1332,943,1.2525,0.9994,7.9997
45,https,192.168.137.113,39893,180.76.22.48,443,6,0.442,928,888,43,0.0676,0.9645,7.9786
46,https,192.168.137.113,42737,111.13.105.24,443,6,0.842,580,540,19,0.0043,0.8956,7.811
47,https,192.168.137.113,36529,120.221.8.142,443,6,0.778,684,644,9,0.0046,0.8635,7.6829
48,https,192.168.137.113,58065,112.54.108.104,443,6,0.650,637,597,20,0.43,0.9336,7.9226
49,https,192.168.137.113,34701,111.13.101.191,443,6,0.889,385,345,9,0.0243,0.9382,7.6179
50,https,192.168.137.113,38906,111.13.101.221,443,6,1.000,701,661,13,0.121,0.9734,7.8925
51,https,192.168.137.113,53693,111.6.172.48,443,6,0.714,695,655,7,0.0029,0.7623,7.3233
52,https,192.168.137.113,42507,223.99.245.161,443,6,0.600,856,816,15,0.0049,0.9297,7.8923
53,https,192.168.137.113,45583,218.206.90.28,443,6,1.000,530,478,5,0.0014,0.954,7.6532
54,https,192.168.137.113,42187,223.99.245.179,443,6,0.700,725,685,10,0.0065,0.8853,7.7558
55,https,192.168.137.113,56548,119.75.222.189,443,6,1.000,788,748,19,2.066,0.2386,7.8461
56,https,192.168.137.113,43245,120.221.12.7,443,6,0.778,594,554,9,0.0051,0.8382,7.5942
57,https,192.168.137.113,50919,112.34.111.114,443,6,1.000,368,328,9,0.1208,0.9371,7.5951
58,https,192.168.137.113,47687,111.6.172.48,443,6,0.750,659,619,8,0.0116,0.7552,7.3156
59,https,192.168.137.113,36467,111.13.101.221,443,6,1.000,328,288,10,0.0013,0.9927,7.8323
60,https,192.168.137.113,40371,223.99.245.161,443,6,0.692,749,709,13,0.0025,0.9164,7.8496
61,https,192.168.137.113,51710,218.206.90.28,443,6,1.000,526,474,5,0.0006,0.9523,7.6477
62,https,192.168.137.113,44343,221.179.183.213,443,6,0.778,539,487,9,0.0012,0.8123,7.5078
63,https,192.168.137.113,34573,221.179.183.218,443,6,1.000,205,153,6,0.0009,0.975,7.3562
64,https,192.168.137.113,50921,112.34.111.114,443,6,0.900,400,360,10,0.1107,0.9481,7.6938
65,https,192.168.137.113,48986,222.35.78.40,443,6,0.018,1367,1327,558,0.8355,0.9989,7.9995
66,https,192.168.137.113,54789,119.75.222.189,443,6,0.950,772,732,20,0.5322,0.2613,7.8537
67,https,192.168.137.113,45943,120.221.12.30,443,6,0.571,684,644,35,0.0472,0.9533,7.9586
68,https,192.168.137.113,43211,222.35.78.32,443,6,0.750,615,575,8,0.0091,0.7648,7.3422
69,https,192.168.137.113,44832,222.35.78.31,443,6,0.667,802,762,12,0.0033,0.889,7.7987
70,https,192.168.137.113,38907,111.13.101.221,443,6,1.000,164,124,6,0.0118,0.6877,5.4476
71,https,192.168.137.113,58541,180.76.22.48,443,6,0.750,616,576,8,0.0062,0.7639,7.332
72,https,192.168.137.113,46843,223.99.245.179,443,6,0.778,644,604,9,0.005,0.8363,7.5831
73,https,192.168.137.113,53459,112.34.111.114,443,6,0.889,354,314,9,0.0021,0.9272,7.5569
74,https,192.168.137.113,50985,112.34.111.114,443,6,1.000,164,124,6,0.994,0.7011,5.6492
75,https,192.168.137.113,34612,222.35.78.49,443,6,0.750,615,575,8,0.0058,0.7646,7.3417
76,https,192.168.137.113,34702,111.13.101.191,443,6,0.889,387,347,9,0.0248,0.9369,7.6288
77,https,192.168.137.113,47493,112.34.111.173,443,6,0.867,393,353,15,0.0344,0.7885,7.4359
78,https,192.168.137.113,44837,119.75.222.188,443,6,0.632,928,888,57,0.013,0.9944,7.9848
79,https,192.168.137.113,42780,218.206.90.28,443,6,1.000,530,478,5,0.0016,0.9536,7.6609
80,https,192.168.137.113,41834,223.99.245.181,443,6,0.889,639,599,18,0.038,0.846,7.8755
81,https,192.168.137.113,60287,119.75.222.92,443,6,0.912,380,340,57,0.9438,0.9754,7.9101
82,https,192.168.137.113,39880,222.35.78.32,443,6,0.605,826,786,43,0.0377,0.9659,7.9716
83,https,192.168.137.113,50792,119.75.222.189,443,6,1.000,336,296,12,1.3066,0.9242,7.6105
84,https,192.168.137.113,42461,119.75.222.189,443,6,0.875,805,765,24,0.6048,0.3989,7.9001
85,https,192.168.137.113,50914,112.34.111.114,443,6,0.900,398,358,10,0.0226,0.9484,7.6834
86,https,192.168.137.113,46116,223.99.245.172,443,6,1.000,318,278,6,0.0025,0.9294,7.4366
87,https,192.168.137.113,38838,223.99.245.181,443,6,0.778,634,594,9,0.0042,0.8517,7.645
88,https,192.168.137.113,42532,218.206.90.28,443,6,1.000,528,476,5,0.002,0.9547,7.6584
89,https,192.168.137.113,56526,119.75.222.188,443,6,0.842,647,607,19,3.0089,0.9755,7.9135
90,https,192.168.137.113,43558,111.6.172.48,443,6,0.778,564,524,9,0.022,0.7665,7.3467
91,https,192.168.137.113,60746,61.135.169.121,443,6,0.818,527,487,11,0.0039,0.9727,7.8476
92,https,192.168.137.113,35153,218.206.90.28,443,6,1.000,529,477,5,0.0022,0.9544,7.6694
93,https,192.168.137.113,50984,112.34.111.114,443,6,0.900,401,361,10,0.5869,0.9485,7.6954
94,https,192.168.137.113,53789,111.6.172.48,443,6,0.013,1369,1329,693,0.7442,0.9991,7.9996
95,https,192.168.137.113,54539,222.35.78.32,443,6,0.750,615,575,8,0.0086,0.7655,7.3453
96,https,192.168.137.113,53013,119.75.222.188,443,6,0.605,849,809,177,3.4795,0.9954,7.9921
97,https,192.168.137.113,53435,111.13.100.3,443,6,1.000,248,208,9,0.3416,0.8837,7.1971
98,https,192.168.137.113,52570,222.35.78.49,443,6,0.641,710,670,39,0.1433,0.9473,7.9392
99,https,192.168.137.113,50959,119.75.222.91,443,6,0.898,382,342,59,0.2384,0.9774,7.917
100,https,192.168.137.113,51202,222.35.78.49,443,6,0.750,615,575,8,0.0098,0.764,7.3274
101,https,192.168.137.113,48694,222.35.78.48,443,6,0.150,1235,1195,213,0.068,0.996,7.9986
102,https,192.168.137.113,56372,222.35.78.49,443,6,0.294,1094,1054,51,0.47,0.9785,7.9864
103,https,192.168.137.113,40578,111.13.105.155,443,6,0.867,417,377,15,0.0338,0.8036,7.4948
104,https,192.168.137.113,38108,223.99.245.179,443,6,0.778,606,566,9,0.0018,0.8435,7.6106
105,https,192.168.137.113,41901,120.221.8.142,443,6,0.778,644,604,9,0.0031,0.8351,7.578
106,https,192.168.137.113,34700,111.13.101.191,443,6,0.889,385,345,9,0.0249,0.9372,7.5972
107,https,192.168.137.113,44490,111.13.101.221,443,6,0.900,312,272,10,0.0033,0.9938,7.8349
108,https,192.168.137.113,55877,112.54.108.104,443,6,0.500,852,812,18,0.0818,0.9517,7.9398
109,https,192.168.137.113,53802,111.6.172.48,443,6,0.011,1373,1333,1029,1.4763,0.9995,7.9997
110,https,192.168.137.113,40403,218.206.90.28,443,6,1.000,530,478,5,0.0008,0.954,7.6608
111,https,192.168.137.113,34666,111.13.101.191,443,6,0.623,816,776,61,0.1649,0.9766,7.9796
112,https,192.168.137.113,36294,111.13.101.73,443,6,0.778,494,454,18,0.0054,0.8682,7.7325
113,https,192.168.137.113,59579,119.75.222.188,443,6,0.767,610,570,43,1.0874,0.9792,7.9576
114,https,192.168.137.113,47881,221.179.183.213,443,6,1.000,225,173,6,0.0007,0.8357,7.3926
115,https,192.168.137.113,34636,111.13.101.191,443,6,0.711,742,702,38,0.3728,0.9895,7.9695
116,https,192.168.137.113,34163,218.206.90.28,443,6,1.000,526,474,5,0.0006,0.9524,7.6574
117,https,192.168.137.113,56190,180.76.22.48,443,6,1.000,200,160,6,0.009,0.8208,6.6066
118,https,192.168.137.113,40337,112.34.111.114,443,6,0.889,351,311,9,0.0014,0.9287,7.5734
119,https,192.168.137.113,33708,111.13.101.221,443,6,1.000,300,260,10,0.0013,0.9916,7.797
120,https,192.168.137.113,57063,112.34.112.78,443,6,1.000,164,124,6,0.0306,0.6863,5.4934
121,https,192.168.137.113,39838,111.13.101.221,443,6,1.000,300,260,10,0.0014,0.9908,7.8185
122,https,192.168.137.113,45494,180.76.76.112,443,6,0.867,487,447,15,0.0409,0.8655,7.6945
123,https,192.168.137.113,60775,223.99.245.161,443,6,0.600,863,823,15,0.0084,0.9377,7.9112
124,https,192.168.137.113,34599,111.13.101.191,443,6,0.889,332,292,9,0.0043,0.927,7.5201
