id,protocol_name,src,sport,dst,dport,proto,push_flag_ratio,average_len,average_payload_len,pkt_count,flow_average_inter_arrival_time,kolmogorov,shannon
0,https,192.168.137.113,46331,111.6.225.35,443,6,0.714,599,559,7,0.0196,0.8149,7.5061
1,https,192.168.137.113,43804,112.34.111.173,443,6,1.000,71,31,1,0.0,1.0,4.1155
2,https,192.168.137.113,44854,119.75.222.189,443,6,0.900,470,430,10,0.0062,0.9465,7.7169
3,https,192.168.137.113,57911,111.13.101.221,443,6,0.909,383,343,11,0.0044,0.9942,7.8872
4,https,192.168.137.113,50912,112.34.111.114,443,6,0.786,610,570,28,0.0166,0.9309,7.8968
5,https,192.168.137.113,38773,111.13.101.221,443,6,0.846,526,486,13,0.0047,0.8286,7.5864
6,https,192.168.137.113,40514,180.76.76.112,443,6,0.867,462,422,15,0.2183,0.8821,7.7528
7,https,192.168.137.113,50832,112.34.111.114,443,6,0.786,562,522,28,0.0161,0.9242,7.8913
8,https,192.168.137.113,53007,119.75.222.188,443,6,1.000,71,31,1,0.0,1.0,4.0266
9,https,192.168.137.113,34739,111.13.101.191,443,6,0.778,577,537,18,0.0364,0.9752,7.9013
10,https,192.168.137.113,37403,180.76.76.112,443,6,0.818,533,493,11,0.2745,0.8381,7.5923
11,https,192.168.137.113,34703,111.13.101.191,443,6,0.875,527,487,16,0.0987,0.97,7.8615
12,https,192.168.137.113,48750,180.76.22.33,443,6,0.446,961,921,56,0.1726,0.9798,7.9865
13,https,192.168.137.113,50836,112.34.111.114,443,6,1.000,164,124,6,0.0207,0.6997,5.5949
14,https,192.168.137.113,42587,111.13.101.221,443,6,0.900,312,272,10,0.0023,0.9941,7.831
15,https,192.168.137.113,36297,111.13.101.73,443,6,0.889,361,321,9,0.0022,0.9384,7.5906
16,https,192.168.137.113,51022,112.34.111.114,443,6,1.000,441,401,12,0.1184,0.9564,7.764
17,https,192.168.137.113,41524,119.75.222.189,443,6,1.000,803,763,19,0.5615,0.2546,7.8564
18,https,192.168.137.113,36344,111.13.101.221,443,6,0.917,356,316,12,0.0031,0.9939,7.874
19,https,192.168.137.113,34586,111.13.101.191,443,6,0.631,713,673,65,0.0238,0.974,7.9764
20,https,192.168.137.113,58614,112.34.111.114,443,6,0.800,478,438,15,0.0031,0.8357,7.6195
21,https,192.168.137.113,34109,119.75.222.188,443,6,0.750,576,536,48,1.0879,0.9789,7.9559
22,https,192.168.137.113,38774,111.13.101.221,443,6,1.000,668,628,13,0.0834,0.9723,7.8783
23,https,192.168.137.113,54734,61.135.169.125,443,6,0.800,540,500,15,0.042,0.9775,7.8959
24,https,192.168.137.113,51017,112.34.111.114,443,6,1.000,348,308,9,0.0093,0.9326,7.548
25,https,192.168.137.113,46333,111.6.225.35,443,6,0.714,599,559,7,0.0195,0.8152,7.5017
26,https,192.168.137.113,40639,222.35.78.48,443,6,0.508,992,952,65,0.2241,0.9823,7.9898
27,https,192.168.137.113,53799,111.6.172.48,443,6,0.009,1375,1335,1620,1.66,0.9998,7.9998
28,https,192.168.137.113,40903,180.76.76.112,443,6,0.778,530,490,9,0.0087,0.8382,7.6055
29,https,192.168.137.113,48983,222.35.78.40,443,6,0.012,1372,1332,943,1.2525,0.9994,7.9997
30,https,192.168.137.113,39893,180.76.22.48,443,6,0.442,928,888,43,0.0676,0.9645,7.9786
31,https,192.168.137.113,58065,112.54.108.104,443,6,0.650,637,597,20,0.43,0.9336,7.9226
32,https,192.168.137.113,34701,111.13.101.191,443,6,0.889,385,345,9,0.0243,0.9382,7.6179
33,https,192.168.137.113,38906,111.13.101.221,443,6,1.000,701,661,13,0.121,0.9734,7.8925
34,https,192.168.137.113,53693,111.6.172.48,443,6,0.714,695,655,7,0.0029,0.7623,7.3233
35,https,192.168.137.113,56548,119.75.222.189,443,6,1.000,788,748,19,2.066,0.2386,7.8461
36,https,192.168.137.113,50919,112.34.111.114,443,6,1.000,368,328,9,0.1208,0.9371,7.5951
37,https,192.168.137.113,47687,111.6.172.48,443,6,0.750,659,619,8,0.0116,0.7552,7.3156
38,https,192.168.137.113,36467,111.13.101.221,443,6,1.000,328,288,10,0.0013,0.9927,7.8323
39,https,192.168.137.113,50921,112.34.111.114,443,6,0.900,400,360,10,0.1107,0.9481,7.6938
40,https,192.168.137.113,48986,222.35.78.40,443,6,0.018,1367,1327,558,0.8355,0.9989,7.9995
41,https,192.168.137.113,54789,119.75.222.189,443,6,0.950,772,732,20,0.5322,0.2613,7.8537
42,https,192.168.137.113,43211,222.35.78.32,443,6,0.750,615,575,8,0.0091,0.7648,7.3422
43,https,192.168.137.113,38907,111.13.101.221,443,6,1.000,164,124,6,0.0118,0.6877,5.4476
44,https,192.168.137.113,58541,180.76.22.48,443,6,0.750,616,576,8,0.0062,0.7639,7.332
45,https,192.168.137.113,53459,112.34.111.114,443,6,0.889,354,314,9,0.0021,0.9272,7.5569
46,https,192.168.137.113,50985,112.34.111.114,443,6,1.000,164,124,6,0.994,0.7011,5.6492
47,https,192.168.137.113,34612,222.35.78.49,443,6,0.750,615,575,8,0.0058,0.7646,7.3417
48,https,192.168.137.113,34702,111.13.101.191,443,6,0.889,387,347,9,0.0248,0.9369,7.6288
49,https,192.168.137.113,44837,119.75.222.188,443,6,0.632,928,888,57,0.013,0.9944,7.9848
50,https,192.168.137.113,60287,119.75.222.92,443,6,0.912,380,340,57,0.9438,0.9754,7.9101
51,https,192.168.137.113,39880,222.35.78.32,443,6,0.605,826,786,43,0.0377,0.9659,7.9716
52,https,192.168.137.113,50792,119.75.222.189,443,6,1.000,336,296,12,1.3066,0.9242,7.6105
53,https,192.168.137.113,42461,119.75.222.189,443,6,0.875,805,765,24,0.6048,0.3989,7.9001
54,https,192.168.137.113,50914,112.34.111.114,443,6,0.900,398,358,10,0.0226,0.9484,7.6834
55,https,192.168.137.113,56526,119.75.222.188,443,6,0.842,647,607,19,3.0089,0.9755,7.9135
56,https,192.168.137.113,43558,111.6.172.48,443,6,0.778,564,524,9,0.022,0.7665,7.3467
57,https,192.168.137.113,60746,61.135.169.121,443,6,0.818,527,487,11,0.0039,0.9727,7.8476
58,https,192.168.137.113,50984,112.34.111.114,443,6,0.900,401,361,10,0.5869,0.9485,7.6954
59,https,192.168.137.113,53789,111.6.172.48,443,6,0.013,1369,1329,693,0.7442,0.9991,7.9996
60,https,192.168.137.113,54539,222.35.78.32,443,6,0.750,615,575,8,0.0086,0.7655,7.3453
61,https,192.168.137.113,53013,119.75.222.188,443,6,0.605,849,809,177,3.4795,0.9954,7.9921
62,https,192.168.137.113,53435,111.13.100.3,443,6,1.000,248,208,9,0.3416,0.8837,7.1971
63,https,192.168.137.113,52570,222.35.78.49,443,6,0.641,710,670,39,0.1433,0.9473,7.9392
64,https,192.168.137.113,50959,119.75.222.91,443,6,0.898,382,342,59,0.2384,0.9774,7.917
65,https,192.168.137.113,51202,222.35.78.49,443,6,0.750,615,575,8,0.0098,0.764,7.3274
66,https,192.168.137.113,48694,222.35.78.48,443,6,0.150,1235,1195,213,0.068,0.996,7.9986
67,https,192.168.137.113,56372,222.35.78.49,443,6,0.294,1094,1054,51,0.47,0.9785,7.9864
68,https,192.168.137.113,34700,111.13.101.191,443,6,0.889,385,345,9,0.0249,0.9372,7.5972
69,https,192.168.137.113,44490,111.13.101.221,443,6,0.900,312,272,10,0.0033,0.9938,7.8349
70,https,192.168.137.113,55877,112.54.108.104,443,6,0.500,852,812,18,0.0818,0.9517,7.9398
71,https,192.168.137.113,53802,111.6.172.48,443,6,0.011,1373,1333,1029,1.4763,0.9995,7.9997
72,https,192.168.137.113,34666,111.13.101.191,443,6,0.623,816,776,61,0.1649,0.9766,7.9796
73,https,192.168.137.113,36294,111.13.101.73,443,6,0.778,494,454,18,0.0054,0.8682,7.7325
74,https,192.168.137.113,59579,119.75.222.188,443,6,0.767,610,570,43,1.0874,0.9792,7.9576
75,https,192.168.137.113,34636,111.13.101.191,443,6,0.711,742,702,38,0.3728,0.9895,7.9695
76,https,192.168.137.113,56190,180.76.22.48,443,6,1.000,200,160,6,0.009,0.8208,6.6066
77,https,192.168.137.113,40337,112.34.111.114,443,6,0.889,351,311,9,0.0014,0.9287,7.5734
78,https,192.168.137.113,33708,111.13.101.221,443,6,1.000,300,260,10,0.0013,0.9916,7.797
79,https,192.168.137.113,57063,112.34.112.78,443,6,1.000,164,124,6,0.0306,0.6863,5.4934
80,https,192.168.137.113,39838,111.13.101.221,443,6,1.000,300,260,10,0.0014,0.9908,7.8185
81,https,192.168.137.113,45494,180.76.76.112,443,6,0.867,487,447,15,0.0409,0.8655,7.6945
82,https,192.168.137.113,34599,111.13.101.191,443,6,0.889,332,292,9,0.0043,0.927,7.5201
83,https,192.168.137.113,40638,222.35.78.48,443,6,0.714,694,654,7,0.0019,0.7625,7.3351
84,https,192.168.137.113,49016,222.35.78.40,443,6,0.014,1370,1330,771,0.1307,0.9992,7.9996
85,https,192.168.137.113,53800,222.35.78.49,443,6,0.750,615,575,8,0.019,0.7658,7.3402
86,https,192.168.137.113,33595,111.6.172.48,443,6,0.750,659,619,8,0.0121,0.7552,7.3093
87,https,192.168.137.113,43033,119.75.222.189,443,6,0.864,882,842,22,0.6554,0.4048,7.8833
88,https,192.168.137.113,51353,180.76.76.112,443,6,0.857,516,476,14,0.1064,0.8653,7.7001
89,https,192.168.137.113,37189,119.75.222.188,443,6,0.442,1075,1035,104,3.745,0.997,7.9933
90,https,192.168.137.113,39160,111.13.100.146,443,6,0.889,382,342,9,0.0021,0.9407,7.6251
91,https,192.168.137.113,57059,112.34.112.78,443,6,0.833,462,422,12,0.078,0.9602,7.79
92,https,192.168.137.113,34634,111.13.101.191,443,6,0.833,494,454,12,0.0621,0.9615,7.8129
93,https,192.168.137.113,33994,222.35.78.32,443,6,0.750,604,564,36,0.015,0.9267,7.9338
94,https,192.168.137.113,34677,111.13.101.191,443,6,0.762,597,557,21,0.0067,0.9789,7.9216
95,https,192.168.137.113,57060,112.34.112.78,443,6,1.000,164,124,6,0.0324,0.685,5.5036
96,https,192.168.137.113,50920,112.34.111.114,443,6,0.855,737,697,69,1.114,0.9776,7.9771
97,https,192.168.137.113,34509,183.232.231.65,443,6,1.000,325,285,8,0.0214,0.9169,7.4276
98,https,192.168.137.113,56949,112.34.112.78,443,6,0.714,583,543,14,0.0118,0.9729,7.8775
99,https,192.168.137.113,60743,61.135.169.121,443,6,0.818,509,469,11,0.0059,0.9725,7.8482
100,https,192.168.137.113,44665,222.35.78.31,443,6,1.000,71,31,1,0.0,1.0,3.9865
101,https,192.168.137.113,34925,222.35.78.49,443,6,0.824,456,416,17,0.0169,0.8428,7.6492
102,https,192.168.137.113,57234,119.75.222.189,443,6,1.000,661,621,19,0.5471,0.2692,7.7786
103,https,192.168.137.113,57075,112.34.112.78,443,6,0.714,611,571,14,0.0058,0.974,7.887
104,https,192.168.137.113,60742,61.135.169.121,443,6,0.786,575,535,14,0.008,0.9785,7.8998
105,https,192.168.137.113,50915,112.34.111.114,443,6,1.000,164,124,6,0.0407,0.6984,5.571
106,https,192.168.137.113,46328,111.6.225.35,443,6,0.714,599,559,7,0.0211,0.8159,7.496
107,https,192.168.137.113,44155,222.35.78.49,443,6,1.000,230,190,5,0.0016,0.8237,6.5182
108,https,192.168.137.113,52418,222.35.78.49,443,6,0.312,1055,1015,128,0.4549,0.9912,7.996
109,https,192.168.137.113,44376,119.75.222.189,443,6,0.875,753,713,24,2.7927,0.5208,7.8969
110,https,192.168.137.113,54735,61.135.169.125,443,6,0.812,489,449,16,0.0392,0.9701,7.8824
111,https,192.168.137.113,44703,119.75.222.188,443,6,0.765,578,538,17,0.2821,0.8836,7.7684
112,https,192.168.137.113,57210,180.76.76.112,443,6,0.867,462,422,15,0.451,0.8824,7.7622
113,https,192.168.137.113,48464,119.75.222.188,443,6,0.595,783,743,37,0.1543,0.9903,7.9718
114,https,192.168.137.113,54117,222.35.78.49,443,6,0.518,957,917,110,0.069,0.9886,7.9945
115,https,192.168.137.113,47983,222.35.78.32,443,6,0.111,1266,1226,99,0.0479,0.9919,7.9972
116,https,192.168.137.113,54716,61.135.169.125,443,6,0.741,650,610,27,0.2158,0.9869,7.9566
117,https,192.168.137.113,49890,183.232.231.63,443,6,0.857,407,367,14,0.0381,0.783,7.4141
118,https,192.168.137.113,33257,180.76.76.112,443,6,0.778,549,509,9,0.028,0.8435,7.603
119,https,192.168.137.113,38951,111.13.101.221,443,6,0.867,476,436,15,0.0019,0.8346,7.6053
120,https,192.168.137.113,44643,119.75.222.91,443,6,0.917,261,221,12,0.0015,0.9222,7.4849
121,https,192.168.137.113,34704,111.13.101.191,443,6,0.857,647,607,28,0.1138,0.9832,7.9416
122,https,192.168.137.113,36199,222.35.78.32,443,6,0.111,1265,1225,99,0.032,0.9919,7.9965
123,https,192.168.137.113,50916,112.34.111.114,443,6,1.000,164,124,6,0.0407,0.6997,5.6295
124,https,192.168.137.113,52833,119.75.222.189,443,6,0.875,362,322,8,0.0013,0.9154,7.47
