protocol_name,src,sport,dst,dport,proto,push_flag_ratio,average_len,average_payload_len,pkt_count,flow_average_inter_arrival_time,kolmogorov,shannon
unknown,192.168.137.113,48022,223.99.245.172,443,6,1.000,337,297,7,0.0058,0.6882,7.4829
unknown,192.168.137.113,49707,223.99.245.161,443,6,0.441,989,949,34,0.1365,0.9773,7.9797
unknown,192.168.137.113,49907,120.221.12.30,443,6,0.276,1249,1209,76,0.0233,0.9654,7.995
unknown,192.168.137.113,59391,111.13.105.171,443,6,1.000,242,202,9,0.0286,0.8775,7.1567
unknown,192.168.137.113,52705,221.179.183.213,443,6,1.000,229,177,5,0.0013,0.9741,7.4144
unknown,192.168.137.113,51938,221.179.183.218,443,6,1.000,225,173,6,0.0007,0.8329,7.4053
unknown,192.168.137.113,39727,223.99.245.172,443,6,0.909,486,446,11,0.0186,0.9729,7.8547
unknown,192.168.137.113,52939,223.99.245.172,443,6,0.812,609,569,16,0.0072,0.9088,7.8427
unknown,192.168.137.113,58992,218.206.90.28,443,6,1.000,530,478,5,0.0009,0.9561,7.6713
unknown,192.168.137.113,36038,120.221.8.140,443,6,0.778,639,599,9,0.0032,0.8482,7.6453
unknown,192.168.137.113,37284,221.179.183.218,443,6,1.000,205,153,6,0.0026,0.975,7.421
unknown,192.168.137.113,36898,223.99.245.161,443,6,0.727,629,589,11,0.053,0.8789,7.7466
unknown,192.168.137.113,39424,39.156.41.32,443,6,0.778,582,542,9,0.0034,0.8291,7.568
unknown,192.168.137.113,48904,218.206.90.28,443,6,1.000,527,475,5,0.0007,0.9533,7.6659
unknown,192.168.137.113,33590,120.221.12.7,443,6,0.778,594,554,9,0.0098,0.8392,7.5979
unknown,192.168.137.113,47493,112.34.111.173,443,6,0.867,393,353,15,0.0356,0.7885,7.4359
unknown,192.168.137.113,52007,223.99.245.161,443,6,0.625,867,827,16,0.0069,0.8446,7.9148
unknown,192.168.137.113,45430,223.99.245.172,443,6,0.800,625,585,10,0.0034,0.8607,7.6755
unknown,192.168.137.113,54340,223.99.245.172,443,6,0.889,354,314,18,0.0383,0.7954,7.5442
unknown,192.168.137.113,55249,218.206.90.129,443,6,0.778,562,522,9,0.0128,0.8279,7.5447
unknown,192.168.137.113,50652,218.206.90.28,443,6,1.000,529,477,5,0.0015,0.9547,7.657
unknown,192.168.137.113,38949,120.221.102.6,443,6,0.800,546,506,10,0.1,0.8407,7.6034
unknown,192.168.137.113,43595,120.221.8.142,443,6,0.778,723,683,9,0.0031,0.8551,7.654
unknown,192.168.137.113,41619,39.156.41.32,443,6,0.778,607,567,9,0.0036,0.838,7.6034
unknown,192.168.137.113,45128,223.99.245.161,443,6,0.800,590,550,10,0.0977,0.8555,7.668
unknown,192.168.137.113,40085,218.206.90.172,443,6,0.438,942,902,16,0.0044,0.7727,7.9215
unknown,192.168.137.113,37910,223.99.245.161,443,6,0.667,863,823,9,0.0011,0.8968,7.7965
